Flow Discharge (m3/s),WSE (m),Depth (m)
0.189882613404755,733.314045328719,0.0508617349694029
0.190698472930585,733.314176726181,0.0509931324313114
0.192474453224099,733.314463303233,0.0512797094829319
0.197829746742498,733.31532118969,0.0521375959403456
0.211186530242707,733.317416573162,0.0542329794122241
0.234149174024709,733.320889107804,0.0577055140536621
0.261647917116715,733.324863495343,0.0616799015929344
0.287362391370064,733.328426003376,0.065242409626041
0.308634275391054,733.331275637278,0.0680920435279536
0.32533006289468,733.333456844839,0.0702732510887957
0.338311975652165,733.335122084189,0.0719384904386524
0.34843768345784,733.336403404789,0.0732198110385714
0.356781332433501,733.337448943013,0.07426534926307
0.364736355297027,733.338438478142,0.0752548843920655
0.374131822519128,733.339598265695,0.0764146719449276
0.386794308959759,733.341143800699,0.0779602069489274
0.403340453683294,733.34313143646,0.0799478427103142
0.422230154607352,733.345357858758,0.0821742650079597
0.440619309400048,733.34748418318,0.0843005894304282
0.456220461842536,733.349258333847,0.0860747400971372
0.468187812620441,733.350601725417,0.087418131666547
0.47678223936742,733.351557522255,0.088373928504982
0.482721517793823,733.352213821954,0.0890302282041608
0.486752315603801,733.352657342844,0.0894737490935464
0.489475680145736,733.35295617838,0.0897725846301564
0.491337401547319,733.35316010845,0.0899765146999525
0.492628823147899,733.3533014156,0.0901178218500014
0.493545159880355,733.353401616119,0.090218022369114
0.494212307170331,733.353474540562,0.0902909468116633
0.494710596329178,733.353528995217,0.0903454014666894
0.495091061250619,733.353570567053,0.090386973302776
0.495386264900492,733.35360281805,0.0904192243005062
0.495617381645126,733.353628063581,0.0904444698305458
0.495798726462871,733.353647868917,0.0904642751671793
0.49594054667659,733.353663354724,0.0904797609736281
0.496050653321788,733.35367537533,0.0904917815797271
0.49613531294593,733.353684616109,0.0905010223593359
0.496199606376969,733.353691632658,0.0905080389079398
0.496248063893069,733.35369692015,0.09051332639981
0.496284126080199,733.353700854563,0.0905172608132732
0.496310699677318,733.353703753413,0.090520159662513
0.496330108372257,733.353705870441,0.0905222766907153
0.496344174489407,733.353707404587,0.090523810837329
0.496354301791762,733.353708509062,0.0905249153116902
0.496361553997426,733.353709299936,0.0905257061861553
0.496366725123653,733.353709863838,0.0905262700881644
0.496370399983023,733.353710264561,0.090526670811317
0.49637300466378,733.35371054858,0.0905269548301262
0.4963748475173,733.353710749525,0.0905271557751519
0.496376150757045,733.353710891631,0.0905272978808704
0.496377072125223,733.353710992099,0.090527398349126
0.496377727430746,733.353711063557,0.0905274698073861
0.496378196592116,733.353711114735,0.090527520985177
0.496378742608573,733.353711175223,0.0905275814729119
0.496383306053357,733.353711686371,0.0905280926204767
0.496416319309469,733.353715358826,0.090531765075525
0.496540646084701,733.35372910777,0.0905455140199524
0.496824198947878,733.353760324226,0.0905767304761324
0.497270997039412,733.35380934065,0.0906257468997278
0.497807225516886,733.353868005819,0.0906844120687568
0.498333348766419,733.353925439113,0.0907418453627094
0.498776567117239,733.353973737291,0.0907901435412141
0.499107665953839,733.35400976654,0.0908261727898433
0.499331399648194,733.354034084625,0.0908504908749896
0.499470946647534,733.354049238084,0.0908656443345125
0.499551820561869,733.354058013531,0.0908744197805743
0.499595952813279,733.354062799285,0.0908792055353043
0.499618863821394,733.35406528257,0.0908816888194901
0.499630287211105,733.354066520257,0.0908829265068527
0.499635804167417,733.354067117825,0.0908835240753715
0.499638404121683,733.354067399377,0.0908838056270488
0.499639607568351,733.354067529679,0.0908839359294932
0.499640158228333,733.354067589297,0.0908839955468914
0.49964040918817,733.354067616467,0.0908840227172478
0.499640524116705,733.354067628911,0.0908840351612192
0.499640577434699,733.354067634685,0.0908840409352784
0.499640602830173,733.354067637437,0.0908840436867447
0.499640615944429,733.354067638859,0.0908840451093306
0.499640623962598,733.354067639731,0.0908840459810408
0.499640629978303,733.354067640386,0.0908840466361562
0.499640634853487,733.354067640917,0.0908840471668982
0.499640638371286,733.354067641299,0.0908840475491363
0.499640640214344,733.354067641498,0.0908840477483457
0.49964064056116,733.354067641535,0.0908840477848818
0.499640640142162,733.354067641489,0.0908840477387713
0.499640639662878,733.354067641437,0.0908840476866282
0.499640639393809,733.354067641407,0.0908840476575193
0.499640639466938,733.354067641416,0.0908840476660321
0.499640640126801,733.354067641489,0.0908840477388363
0.499640641519712,733.354067641642,0.0908840478916652
0.499640643479249,733.354067641856,0.0908840481059015
0.49964064549306,733.354067642075,0.0908840483254484
0.499640647092154,733.354067642249,0.0908840484993412
0.499640648140637,733.354067642363,0.0908840486132071
